kind	version	release_date	source	filename	size_bytes	file_type	sha256	asus_published_sha256
software	1.0.0.15	2026-01-19	https://dlcdnets.asus.com/pub/ASUS/Accessory/Cooling/TUF_GAMING_LC_III_360_ARGB_LCD/ASUS_InfoHub_Software_TUF_GAMING_LC_III_360_ARGB_LCD_v1.0.0.15.zip	ASUS_InfoHub_Software_TUF_GAMING_LC_III_360_ARGB_LCD_v1.0.0.15.zip	89990251	ZIP archive (PK signature; file(1) reported only "data")	0d7124d700b07d1f49315d77aa15473f01c42c1492f2e8cece845f19c32d2a21	0D7124D700B07D1F49315D77AA15473F01C42C1492F2E8CECE845F19C32D2A21
firmware	51	2025-07-10	https://dlcdnets.asus.com/pub/ASUS/Accessory/Cooling/TUF_GAMING_LC_III_360_ARGB_LCD/ASUS_InfoHub_Firmware_TUF_GAMING_LC_III_360_ARGB_LCD_v51.rar	ASUS_InfoHub_Firmware_TUF_GAMING_LC_III_360_ARGB_LCD_v51.rar	1331080	RAR archive data, v5	267b1477374d28fca01be92b2ff11748591560d30c1a1392bf9d06493a43bfd8	267B1477374D28FCA01BE92B2FF11748591560D30C1A1392BF9D06493A43BFD8
